original_family,k_variables,extraction_strategy,n_subqubos,mean_weighted_edge_preservation,mean_edge_preservation,mean_pct_depth_reduction_vs_original,mean_pct_twoq_reduction_vs_original,mean_pct_swap_reduction_vs_original,mean_sub_transpiled_depth,mean_sub_transpiled_2q,mean_sub_swap_count,mean_original_transpiled_depth,mean_original_transpiled_2q,mean_original_swap_count,mean_energy_gap_vs_reference,median_energy_gap_vs_reference,mean_normalized_energy_gap_vs_reference,median_normalized_energy_gap_vs_reference,mean_lifted_hamming_weight,mean_original_reference_hamming_weight,weighted_preservation_per_depth,weighted_preservation_per_2q,weighted_preservation_per_swap_plus_one,quality_gap_per_weighted_preservation,pareto_circuit_profile,pareto_full_profile
assignment,16,top_weight_edges,6,0.5833333333333334,0.5833333333333334,0.0,41.666666666666664,,12.0,16.0,0.0,12.0,28.0,0.0,30.666666666666668,31.5,0.4905352233975821,0.4897568287744982,8.0,13.833333333333334,0.0486111111111111,0.0364583333333333,0.5833333333333334,0.8409175243828536,False,False
assignment,16,weighted_degree_nodes,6,0.5833333333333334,0.5833333333333334,0.0,41.666666666666664,,12.0,16.0,0.0,12.0,28.0,0.0,30.666666666666668,31.5,0.4905352233975821,0.4897568287744982,8.0,13.833333333333334,0.0486111111111111,0.0364583333333333,0.5833333333333334,0.8409175243828536,False,False
maxcut,8,high_degree_nodes,12,0.1173555593287507,0.1189433096772438,79.0137888237219,91.47998130263238,95.90820753884616,50.52777777777778,47.083333333333336,10.083333333333334,259.36111111111114,618.6388888888888,267.63888888888886,208.25,186.0,0.2985377711441994,0.2958374808173648,7.666666666666667,14.0,0.0023225949070011,0.0024925074547699,0.0105884715183835,2.5438741062451484,False,False
maxcut,8,random_nodes,12,0.077199579355996,0.0766846054004903,85.18150980694215,94.65819262471491,97.8142227859944,36.583333333333336,30.833333333333332,5.666666666666667,259.36111111111114,618.6388888888888,267.63888888888886,255.25,230.0,0.3830649740328208,0.3908189273039358,7.666666666666667,14.0,0.0021102390712345,0.0025037701412755,0.0115799369033994,4.9620085014240445,True,True
maxcut,8,top_weight_edges,12,0.1215433044292938,0.1030806368268512,81.24205157534236,92.6009439109061,96.46290030050312,44.0,39.361111111111114,8.194444444444445,259.36111111111114,618.6388888888888,267.63888888888886,277.1666666666667,261.0,0.4132475643898843,0.4034096540783128,7.083333333333333,14.0,0.0027623478279384,0.003087903288253,0.0132192113578688,3.400002681598004,True,True
maxcut,8,weighted_degree_nodes,12,0.1352965520510419,0.1145441010419089,80.15989479180996,91.73131863207608,95.9715150166028,48.30555555555555,44.97222222222222,9.805555555555555,259.36111111111114,618.6388888888888,267.63888888888886,191.58333333333337,162.0,0.2833906195586559,0.2839472022438949,7.333333333333333,14.0,0.0028008486911084,0.003008447111697,0.0125210176705334,2.094588614181058,False,True
maxcut,12,high_degree_nodes,12,0.2623934868521876,0.2618270132570118,62.98754724777762,79.32050572641148,86.40976340816745,90.55555555555556,114.97222222222224,32.63888888888889,259.36111111111114,618.6388888888888,267.63888888888886,135.66666666666666,119.5,0.1977856680031172,0.1845531798242308,9.666666666666666,14.0,0.0028975967873247,0.0022822337585597,0.0078003018387107,0.7537750636347137,False,False
maxcut,12,random_nodes,12,0.2124997342386283,0.2028487946686678,70.99215079962491,84.0556019606333,89.79032506076504,71.77777777777779,88.66666666666667,24.666666666666668,259.36111111111114,618.6388888888888,267.63888888888886,168.0,154.5,0.2501229715785681,0.2409635590628858,10.083333333333334,14.0,0.0029605226132316,0.0023966135440446,0.0082792104248816,1.1770507445465306,False,False
maxcut,12,top_weight_edges,12,0.2572196270417671,0.2227132521869125,69.72025772338141,82.25371216420353,88.20541235597511,73.63888888888889,96.44444444444444,27.61111111111111,259.36111111111114,618.6388888888888,267.63888888888886,178.25,167.0,0.2633530912014116,0.2508217203761297,9.0,14.0,0.0034929862593374,0.0026670237826911,0.0089902005567996,1.023845237652892,False,False
maxcut,12,weighted_degree_nodes,12,0.2824267963655797,0.2503169405467069,64.02306755945881,80.16226435393766,86.88965322799667,88.1388888888889,109.08333333333331,31.583333333333332,259.36111111111114,618.6388888888888,267.63888888888886,120.58333333333331,114.0,0.1772910237043551,0.1698602297703261,9.416666666666666,14.0,0.0032043380615067,0.0025890920980801,0.0086678300674858,0.6277415080937433,False,True
maxcut,16,high_degree_nodes,12,0.4340179042903593,0.4333413887826998,46.9748351083789,62.819849619647954,70.78067728115401,130.36111111111111,206.75,69.25,259.36111111111114,618.6388888888888,267.63888888888886,85.08333333333333,69.0,0.1200808810969901,0.1301111502286823,11.333333333333334,14.0,0.0033293510663654,0.0020992401658542,0.0061781908084036,0.276672643301791,False,False
maxcut,16,random_nodes,12,0.3399886593520025,0.3401054561228744,55.8493682694017,70.43789402393965,76.22284944247444,109.83333333333331,169.19444444444443,58.52777777777778,259.36111111111114,618.6388888888888,267.63888888888886,95.91666666666669,98.0,0.1418801066871054,0.1376668554069178,11.916666666666666,14.0,0.0030954961397754,0.0020094552186294,0.0057114287151992,0.4173083494614552,False,True
maxcut,16,top_weight_edges,12,0.4173681725385006,0.3752908760954324,54.181991422492054,67.85257307746642,74.83311666646586,112.1388888888889,178.33333333333334,59.666666666666664,259.36111111111114,618.6388888888888,267.63888888888886,104.58333333333331,106.5,0.1500574828496957,0.1495497255276323,10.333333333333334,14.0,0.0037218861063626,0.0023403822759168,0.0068796951517335,0.3595326437506944,False,True
maxcut,16,weighted_degree_nodes,12,0.4560444069245819,0.4178191480238469,48.04504273791965,64.32147969244822,72.06178971256791,128.19444444444443,198.7222222222222,66.72222222222221,259.36111111111114,618.6388888888888,267.63888888888886,69.58333333333333,42.5,0.0985770047766367,0.0856668596024404,10.583333333333334,14.0,0.0035574428275807,0.002294883792184,0.0067340437445795,0.2161565914715456,True,True
scheduling_toy,8,high_degree_nodes,6,0.2107266189254665,0.1754030691530691,70.61684312062748,87.46465514764179,94.53130645798332,29.833333333333332,30.722222222222225,5.388888888888889,114.2222222222222,289.05555555555554,135.72222222222223,33.833333333333336,32.0,0.3836139711094983,0.3808333333289526,3.1666666666666665,9.5,0.0070634620868871,0.0068590942869048,0.0329832968752904,1.820434320282751,True,True
scheduling_toy,8,random_nodes,6,0.1296101456077001,0.1103571775446775,74.75853016676295,92.71778191505642,98.34565175153745,24.11111111111111,17.444444444444446,1.7777777777777777,114.2222222222222,289.05555555555554,135.72222222222223,29.166666666666668,29.5,0.3296528121489785,0.3316666666627944,4.166666666666667,9.5,0.005375535992946,0.0074298809584031,0.046659652418772,2.5434182490878676,True,True
scheduling_toy,8,top_weight_edges,6,0.1669317342632259,0.1117642773892773,80.61052804912336,92.6771577030709,98.51061170541028,19.444444444444446,17.666666666666668,1.6666666666666667,114.2222222222222,289.05555555555554,135.72222222222223,30.0,29.0,0.3395678645639115,0.3349358974320572,3.8333333333333335,9.5,0.0085850606192516,0.0094489660903712,0.0625994003487097,2.0341720166537813,True,True
scheduling_toy,8,weighted_degree_nodes,6,0.2107266189254665,0.1754030691530691,70.61684312062748,87.46465514764179,94.53130645798332,29.833333333333332,30.722222222222225,5.388888888888889,114.2222222222222,289.05555555555554,135.72222222222223,33.833333333333336,32.0,0.3836139711094983,0.3808333333289526,3.1666666666666665,9.5,0.0070634620868871,0.0068590942869048,0.0329832968752904,1.820434320282751,True,True
scheduling_toy,12,high_degree_nodes,6,0.3654715244765352,0.3346736596736596,54.17929045179998,73.7501900721921,83.74681771862517,47.44444444444445,64.38888888888889,16.38888888888889,114.2222222222222,289.05555555555554,135.72222222222223,24.833333333333332,22.0,0.2792813417781133,0.2900641025606902,4.666666666666667,9.5,0.0077031468859222,0.0056760029685743,0.0210175317590339,0.7641671712015341,True,True
scheduling_toy,12,random_nodes,6,0.167515602931063,0.1900883838383838,69.12554481352113,86.98373141171383,95.66227921317402,33.61111111111111,32.77777777777778,5.111111111111112,114.2222222222222,289.05555555555554,135.72222222222223,19.166666666666668,18.0,0.2142248842224226,0.2042619542595687,6.0,9.5,0.0049839352938167,0.005110645513151,0.0274116441159921,1.278835399182166,True,True
scheduling_toy,12,top_weight_edges,6,0.2891351223464175,0.2228025446775446,71.52096753781888,84.18577101909204,93.75418175406746,30.88888888888889,40.44444444444444,7.777777777777779,114.2222222222222,289.05555555555554,135.72222222222223,20.5,18.5,0.2314354464327611,0.2168803418777816,5.333333333333333,9.5,0.009360489572366,0.007148945332741,0.0329394443179463,0.8004404437418504,True,True
scheduling_toy,12,weighted_degree_nodes,6,0.3654715244765352,0.3346736596736596,54.17929045179998,73.7501900721921,83.74681771862517,47.44444444444445,64.38888888888889,16.38888888888889,114.2222222222222,289.05555555555554,135.72222222222223,24.833333333333332,22.0,0.2792813417781133,0.2900641025606902,4.666666666666667,9.5,0.0077031468859222,0.0056760029685743,0.0210175317590339,0.7641671712015341,True,True
scheduling_toy,16,high_degree_nodes,6,0.5405913058965214,0.5246600621600621,39.873096084163144,54.839674966359304,64.7092520319231,62.0,111.05555555555554,36.38888888888889,114.2222222222222,289.05555555555554,135.72222222222223,19.333333333333332,16.5,0.2182877382852059,0.2012612612585606,5.833333333333333,9.5,0.0087192146112342,0.0048677556308841,0.0144586084786588,0.4037943923633794,True,True
scheduling_toy,16,random_nodes,6,0.3568530777205725,0.3622632575757575,48.620712797388144,70.5460522148373,79.72245279767328,52.388888888888886,72.66666666666667,20.666666666666668,114.2222222222222,289.05555555555554,135.72222222222223,11.666666666666666,11.0,0.1273108823094576,0.1196428571417119,6.833333333333333,9.5,0.0068116176023014,0.0049108221704665,0.0164701420486418,0.3567599381961509,False,True
scheduling_toy,16,top_weight_edges,6,0.423185345430453,0.3525106837606837,59.386559231946485,72.6716561497701,84.30052517513906,43.666666666666664,70.27777777777777,18.944444444444443,114.2222222222222,289.05555555555554,135.72222222222223,13.833333333333334,13.0,0.1517925067907978,0.1339285714272901,6.833333333333333,9.5,0.0096912674526057,0.0060216096582989,0.0212182067346745,0.3586903659854008,True,True
scheduling_toy,16,weighted_degree_nodes,6,0.5405913058965214,0.5246600621600621,39.873096084163144,54.839674966359304,64.7092520319231,62.0,111.05555555555554,36.38888888888889,114.2222222222222,289.05555555555554,135.72222222222223,19.333333333333332,16.5,0.2182877382852059,0.2012612612585606,5.833333333333333,9.5,0.0087192146112342,0.0048677556308841,0.0144586084786588,0.4037943923633794,True,True
