original_instance_name,original_family,original_n_variables,original_n_edges,subqubo_name,subqubo_json,subqubo_n_variables,subqubo_n_edges,extraction_strategy,k_variables,variable_preservation_ratio,edge_preservation_ratio,weighted_edge_preservation_ratio,p,gamma,beta,topology,optimization_level,seed_transpiler,pre_transpile_depth,pre_transpile_gate_count,pre_transpile_2q_count,pre_transpile_ops_json,transpiled_depth,transpiled_gate_count,transpiled_2q_count,swap_count,cx_count,transpilation_time_sec,transpiled_ops_json,depth_overhead,twoq_overhead,failure_flag,failure_message,original_pre_transpile_depth,original_pre_transpile_2q_count,original_transpiled_depth,original_transpiled_gate_count,original_transpiled_2q_count,original_swap_count,original_depth_overhead,original_twoq_overhead,depth_reduction_vs_original,twoq_reduction_vs_original,swap_reduction_vs_original,pre_depth_reduction_vs_original,pre_2q_reduction_vs_original,pct_depth_reduction_vs_original,pct_twoq_reduction_vs_original,pct_swap_reduction_vs_original,pct_pre_depth_reduction_vs_original,pct_pre_2q_reduction_vs_original
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_top_weight_edges_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_top_weight_edges_k16.json,16,36,top_weight_edges,16,0.5,0.2553191489361702,0.2956852791878173,1,0.7,0.3,line,1,123,42,158,72,"{""barrier"": 2, ""cx"": 72, ""h"": 16, ""rx"": 16, ""rz"": 52}",69,311,129,57,72,0.0022908750688657,"{""barrier"": 2, ""cx"": 72, ""rz"": 132, ""swap"": 57, ""sx"": 48}",1.6428571428571428,1.7916666666666667,False,,101,282,341,1218,819,537,3.376237623762376,2.904255319148936,272,690,480,59,210,79.76539589442815,84.24908424908425,89.3854748603352,58.415841584158414,74.46808510638297
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_top_weight_edges_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_top_weight_edges_k16.json,16,36,top_weight_edges,16,0.5,0.2553191489361702,0.2956852791878173,1,0.7,0.3,grid_2d,1,123,42,158,72,"{""barrier"": 2, ""cx"": 72, ""h"": 16, ""rx"": 16, ""rz"": 52}",68,276,94,22,72,0.0022495830198749,"{""barrier"": 2, ""cx"": 72, ""rz"": 132, ""swap"": 22, ""sx"": 48}",1.619047619047619,1.3055555555555556,False,,101,282,216,846,447,165,2.1386138613861387,1.5851063829787233,148,353,143,59,210,68.51851851851852,78.97091722595079,86.66666666666667,58.415841584158414,74.46808510638297
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_top_weight_edges_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_top_weight_edges_k16.json,16,36,top_weight_edges,16,0.5,0.2553191489361702,0.2956852791878173,1,0.7,0.3,heavy_hex_like,1,123,42,158,72,"{""barrier"": 2, ""cx"": 72, ""h"": 16, ""rx"": 16, ""rz"": 52}",69,281,99,27,72,0.0023518330417573,"{""barrier"": 2, ""cx"": 72, ""rz"": 132, ""swap"": 27, ""sx"": 48}",1.6428571428571428,1.375,False,,101,282,251,936,537,255,2.485148514851485,1.904255319148936,182,438,228,59,210,72.50996015936255,81.56424581005587,89.41176470588235,58.415841584158414,74.46808510638297
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k16.json,16,56,high_degree_nodes,16,0.5,0.3971631205673759,0.3730964467005076,1,0.7,0.3,line,1,123,66,218,112,"{""barrier"": 2, ""cx"": 112, ""h"": 16, ""rx"": 16, ""rz"": 72}",115,409,207,95,112,0.0025405420456081,"{""barrier"": 2, ""cx"": 112, ""rz"": 152, ""swap"": 95, ""sx"": 48}",1.7424242424242424,1.8482142857142856,False,,101,282,341,1218,819,537,3.376237623762376,2.904255319148936,226,612,442,35,170,66.27565982404693,74.72527472527473,82.30912476722533,34.65346534653465,60.283687943262414
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k16.json,16,56,high_degree_nodes,16,0.5,0.3971631205673759,0.3730964467005076,1,0.7,0.3,grid_2d,1,123,66,218,112,"{""barrier"": 2, ""cx"": 112, ""h"": 16, ""rx"": 16, ""rz"": 72}",99,350,148,36,112,0.0024406670127063,"{""barrier"": 2, ""cx"": 112, ""rz"": 152, ""swap"": 36, ""sx"": 48}",1.5,1.3214285714285714,False,,101,282,216,846,447,165,2.1386138613861387,1.5851063829787233,117,299,129,35,170,54.166666666666664,66.8903803131991,78.18181818181819,34.65346534653465,60.283687943262414
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k16.json,16,56,high_degree_nodes,16,0.5,0.3971631205673759,0.3730964467005076,1,0.7,0.3,heavy_hex_like,1,123,66,218,112,"{""barrier"": 2, ""cx"": 112, ""h"": 16, ""rx"": 16, ""rz"": 72}",120,359,157,45,112,0.0025260839611291,"{""barrier"": 2, ""cx"": 112, ""rz"": 152, ""swap"": 45, ""sx"": 48}",1.818181818181818,1.4017857142857142,False,,101,282,251,936,537,255,2.485148514851485,1.904255319148936,131,380,210,35,170,52.191235059760956,70.76350093109869,82.3529411764706,34.65346534653465,60.283687943262414
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k16.json,16,52,weighted_degree_nodes,16,0.5,0.3687943262411347,0.4314720812182741,1,0.7,0.3,line,1,123,72,206,104,"{""barrier"": 2, ""cx"": 104, ""h"": 16, ""rx"": 16, ""rz"": 68}",129,399,201,97,104,0.0024043340235948,"{""barrier"": 2, ""cx"": 104, ""rz"": 148, ""swap"": 97, ""sx"": 48}",1.7916666666666667,1.9326923076923077,False,,101,282,341,1218,819,537,3.376237623762376,2.904255319148936,212,618,440,29,178,62.17008797653959,75.45787545787546,81.93668528864059,28.712871287128714,63.12056737588652
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k16.json,16,52,weighted_degree_nodes,16,0.5,0.3687943262411347,0.4314720812182741,1,0.7,0.3,grid_2d,1,123,72,206,104,"{""barrier"": 2, ""cx"": 104, ""h"": 16, ""rx"": 16, ""rz"": 68}",119,339,141,37,104,0.0024351659230887,"{""barrier"": 2, ""cx"": 104, ""rz"": 148, ""swap"": 37, ""sx"": 48}",1.6527777777777777,1.3557692307692308,False,,101,282,216,846,447,165,2.1386138613861387,1.5851063829787233,97,306,128,29,178,44.907407407407405,68.45637583892618,77.57575757575758,28.712871287128714,63.12056737588652
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k16.json,16,52,weighted_degree_nodes,16,0.5,0.3687943262411347,0.4314720812182741,1,0.7,0.3,heavy_hex_like,1,123,72,206,104,"{""barrier"": 2, ""cx"": 104, ""h"": 16, ""rx"": 16, ""rz"": 68}",114,348,150,46,104,0.0024148329393938,"{""barrier"": 2, ""cx"": 104, ""rz"": 148, ""swap"": 46, ""sx"": 48}",1.5833333333333333,1.4423076923076923,False,,101,282,251,936,537,255,2.485148514851485,1.904255319148936,137,387,209,29,178,54.581673306772906,72.06703910614524,81.96078431372548,28.712871287128714,63.12056737588652
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_random_nodes_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_random_nodes_k16.json,16,38,random_nodes,16,0.5,0.2695035460992908,0.2563451776649746,1,0.7,0.3,line,1,123,51,164,76,"{""barrier"": 2, ""cx"": 76, ""h"": 16, ""rx"": 16, ""rz"": 54}",82,337,153,77,76,0.0023945830762386,"{""barrier"": 2, ""cx"": 76, ""rz"": 134, ""swap"": 77, ""sx"": 48}",1.607843137254902,2.013157894736842,False,,101,282,341,1218,819,537,3.376237623762376,2.904255319148936,259,666,460,50,206,75.95307917888563,81.31868131868131,85.6610800744879,49.504950495049506,73.04964539007092
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_random_nodes_k16,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_random_nodes_k16.json,16,38,random_nodes,16,0.5,0.2695035460992908,0.2563451776649746,1,0.7,0.3,grid_2d,1,123,51,164,76,"{""barrier"": 2, ""cx"": 76, ""h"": 16, ""rx"": 16, ""rz"": 54}",71,282,98,22,76,0.0023636249825358,"{""barrier"": 2, ""cx"": 76, ""rz"": 134, ""swap"": 22, ""sx"": 48}",1.392156862745098,1.2894736842105263,False,,101,282,216,846,447,165,2.1386138613861387,1.5851063829787233,145,349,143,50,206,67.12962962962963,78.07606263982103,86.66666666666667,49.504950495049506,73.04964539007092
