original_family,k_variables,extraction_strategy,n_subqubos,mean_weighted_edge_preservation,mean_edge_preservation,mean_pct_depth_reduction_vs_original,mean_pct_twoq_reduction_vs_original,mean_pct_swap_reduction_vs_original,mean_sub_transpiled_depth,mean_sub_transpiled_2q,mean_sub_swap_count,mean_original_transpiled_depth,mean_original_transpiled_2q,mean_original_swap_count,mean_energy_gap_vs_reference,median_energy_gap_vs_reference,mean_normalized_energy_gap_vs_reference,median_normalized_energy_gap_vs_reference,mean_lifted_hamming_weight,mean_original_reference_hamming_weight,weighted_preservation_per_depth,weighted_preservation_per_2q,weighted_preservation_per_swap_plus_one,quality_gap_per_weighted_preservation
scheduling_toy,8,top_weight_edges,6,0.16693173426322597,0.11176427738927736,80.61052804912336,92.6771577030709,98.51061170541028,19.444444444444446,17.666666666666668,1.6666666666666667,114.22222222222221,289.05555555555554,135.72222222222223,30.0,29.0,0.3395678645639115,0.3349358974320572,3.8333333333333335,9.5,0.00858506061925162,0.009448966090371281,0.06259940034870973,2.0341720166537813
scheduling_toy,8,weighted_degree_nodes,6,0.21072661892546654,0.17540306915306914,70.61684312062748,87.46465514764179,94.53130645798332,29.833333333333332,30.722222222222225,5.388888888888889,114.22222222222221,289.05555555555554,135.72222222222223,33.833333333333336,32.0,0.3836139711094983,0.38083333332895264,3.1666666666666665,9.5,0.007063462086887147,0.006859094286904878,0.03298329687529041,1.820434320282751
scheduling_toy,12,high_degree_nodes,6,0.3654715244765352,0.33467365967365964,54.17929045179998,73.7501900721921,83.74681771862517,47.44444444444445,64.38888888888889,16.38888888888889,114.22222222222221,289.05555555555554,135.72222222222223,24.833333333333332,22.0,0.2792813417781133,0.2900641025606902,4.666666666666667,9.5,0.007703146885922286,0.005676002968574317,0.021017531759033974,0.7641671712015341
scheduling_toy,12,random_nodes,6,0.16751560293106307,0.1900883838383838,69.12554481352113,86.98373141171383,95.66227921317402,33.61111111111111,32.77777777777778,5.111111111111112,114.22222222222221,289.05555555555554,135.72222222222223,19.166666666666668,18.0,0.21422488422242267,0.20426195425956872,6.0,9.5,0.004983935293816753,0.005110645513151077,0.02741164411599214,1.278835399182166
scheduling_toy,12,top_weight_edges,6,0.28913512234641753,0.22280254467754468,71.52096753781888,84.18577101909204,93.75418175406746,30.88888888888889,40.44444444444444,7.777777777777779,114.22222222222221,289.05555555555554,135.72222222222223,20.5,18.5,0.23143544643276112,0.21688034187778166,5.333333333333333,9.5,0.009360489572366034,0.007148945332741093,0.0329394443179463,0.8004404437418504
scheduling_toy,12,weighted_degree_nodes,6,0.3654715244765352,0.33467365967365964,54.17929045179998,73.7501900721921,83.74681771862517,47.44444444444445,64.38888888888889,16.38888888888889,114.22222222222221,289.05555555555554,135.72222222222223,24.833333333333332,22.0,0.2792813417781133,0.2900641025606902,4.666666666666667,9.5,0.007703146885922286,0.005676002968574317,0.021017531759033974,0.7641671712015341
scheduling_toy,16,high_degree_nodes,6,0.5405913058965214,0.5246600621600621,39.873096084163144,54.839674966359304,64.7092520319231,62.0,111.05555555555554,36.38888888888889,114.22222222222221,289.05555555555554,135.72222222222223,19.333333333333332,16.5,0.21828773828520598,0.20126126125856064,5.833333333333333,9.5,0.008719214611234215,0.004867755630884135,0.014458608478658817,0.4037943923633794
scheduling_toy,16,random_nodes,6,0.3568530777205725,0.36226325757575756,48.620712797388144,70.5460522148373,79.72245279767328,52.388888888888886,72.66666666666667,20.666666666666668,114.22222222222221,289.05555555555554,135.72222222222223,11.666666666666666,11.0,0.12731088230945764,0.11964285714171191,6.833333333333333,9.5,0.006811617602301491,0.0049108221704665935,0.016470142048641806,0.3567599381961509
scheduling_toy,16,top_weight_edges,6,0.423185345430453,0.35251068376068373,59.386559231946485,72.6716561497701,84.30052517513906,43.666666666666664,70.27777777777777,18.944444444444443,114.22222222222221,289.05555555555554,135.72222222222223,13.833333333333334,13.0,0.15179250679079784,0.13392857142729014,6.833333333333333,9.5,0.009691267452605795,0.006021609658298937,0.021218206734674526,0.3586903659854008
scheduling_toy,16,weighted_degree_nodes,6,0.5405913058965214,0.5246600621600621,39.873096084163144,54.839674966359304,64.7092520319231,62.0,111.05555555555554,36.38888888888889,114.22222222222221,289.05555555555554,135.72222222222223,19.333333333333332,16.5,0.21828773828520598,0.20126126125856064,5.833333333333333,9.5,0.008719214611234215,0.004867755630884135,0.014458608478658817,0.4037943923633794
