scope,topology,predictor,outcome,spearman_corr,n,abs_spearman_corr
within_topology,line,mean_topology_distance,swap_count,0.9820894293668564,60,0.9820894293668564
within_topology,line,mean_topology_distance,depth_overhead,0.26302344355783125,60,0.26302344355783125
within_topology,line,mean_topology_distance,twoq_overhead,0.9755002963673828,60,0.9755002963673828
within_topology,line,mean_topology_distance,transpiled_depth,0.9612692056007582,60,0.9612692056007582
within_topology,line,mean_topology_distance,transpiled_2q_count,0.9432132974468055,60,0.9432132974468055
within_topology,line,weighted_mean_topology_distance,swap_count,0.9805089458321681,60,0.9805089458321681
within_topology,line,weighted_mean_topology_distance,depth_overhead,0.19064555351049015,60,0.19064555351049015
within_topology,line,weighted_mean_topology_distance,twoq_overhead,0.9691358896800475,60,0.9691358896800475
within_topology,line,weighted_mean_topology_distance,transpiled_depth,0.9800279585720911,60,0.9800279585720911
within_topology,line,weighted_mean_topology_distance,transpiled_2q_count,0.9410148373400982,60,0.9410148373400982
within_topology,line,max_topology_distance,swap_count,0.9809026009683091,60,0.9809026009683091
within_topology,line,max_topology_distance,depth_overhead,0.23979101288520066,60,0.23979101288520066
within_topology,line,max_topology_distance,twoq_overhead,0.9613703790867186,60,0.9613703790867186
within_topology,line,max_topology_distance,transpiled_depth,0.9611953050148202,60,0.9611953050148202
within_topology,line,max_topology_distance,transpiled_2q_count,0.9482340731978428,60,0.9482340731978428
