scope,topology,predictor_type,predictor,outcome,spearman_rho,n,abs_spearman_rho
within_topology,fully_connected,graph,coefficient_entropy,pre_transpile_depth,-0.2193025393115638,60,0.2193025393115638
within_topology,fully_connected,graph,coefficient_entropy,pre_transpile_2q_count,-0.11389625573972297,60,0.11389625573972297
within_topology,fully_connected,graph,coefficient_entropy,transpiled_depth,-0.2193025393115638,60,0.2193025393115638
within_topology,fully_connected,graph,coefficient_entropy,transpiled_2q_count,-0.11389625573972297,60,0.11389625573972297
within_topology,fully_connected,graph,coefficient_entropy,swap_count,,60,
within_topology,fully_connected,graph,coefficient_entropy,depth_overhead,0.2193025393115638,60,0.2193025393115638
within_topology,fully_connected,graph,coefficient_entropy,twoq_overhead,,60,
within_topology,fully_connected,graph,modularity,pre_transpile_depth,-0.8415586441950621,60,0.8415586441950621
within_topology,fully_connected,graph,modularity,pre_transpile_2q_count,-0.6544353386146514,60,0.6544353386146514
within_topology,fully_connected,graph,modularity,transpiled_depth,-0.8415586441950621,60,0.8415586441950621
within_topology,fully_connected,graph,modularity,transpiled_2q_count,-0.6544353386146514,60,0.6544353386146514
within_topology,fully_connected,graph,modularity,swap_count,,60,
within_topology,fully_connected,graph,modularity,depth_overhead,0.8415586441950621,60,0.8415586441950621
within_topology,fully_connected,graph,modularity,twoq_overhead,,60,
within_topology,fully_connected,alignment,topology_alignment_ratio,pre_transpile_depth,,60,
within_topology,fully_connected,alignment,topology_alignment_ratio,pre_transpile_2q_count,,60,
within_topology,fully_connected,alignment,topology_alignment_ratio,transpiled_depth,,60,
within_topology,fully_connected,alignment,topology_alignment_ratio,transpiled_2q_count,,60,
within_topology,fully_connected,alignment,topology_alignment_ratio,swap_count,,60,
within_topology,fully_connected,alignment,topology_alignment_ratio,depth_overhead,,60,
within_topology,fully_connected,alignment,topology_alignment_ratio,twoq_overhead,,60,
within_topology,fully_connected,alignment,weighted_topology_alignment_ratio,pre_transpile_depth,,60,
within_topology,fully_connected,alignment,weighted_topology_alignment_ratio,pre_transpile_2q_count,,60,
within_topology,fully_connected,alignment,weighted_topology_alignment_ratio,transpiled_depth,,60,
within_topology,fully_connected,alignment,weighted_topology_alignment_ratio,transpiled_2q_count,,60,
within_topology,fully_connected,alignment,weighted_topology_alignment_ratio,swap_count,,60,
within_topology,fully_connected,alignment,weighted_topology_alignment_ratio,depth_overhead,,60,
within_topology,fully_connected,alignment,weighted_topology_alignment_ratio,twoq_overhead,,60,
within_topology,fully_connected,alignment,mean_topology_distance,pre_transpile_depth,,60,
within_topology,fully_connected,alignment,mean_topology_distance,pre_transpile_2q_count,,60,
within_topology,fully_connected,alignment,mean_topology_distance,transpiled_depth,,60,
within_topology,fully_connected,alignment,mean_topology_distance,transpiled_2q_count,,60,
within_topology,fully_connected,alignment,mean_topology_distance,swap_count,,60,
within_topology,fully_connected,alignment,mean_topology_distance,depth_overhead,,60,
within_topology,fully_connected,alignment,mean_topology_distance,twoq_overhead,,60,
within_topology,fully_connected,alignment,weighted_mean_topology_distance,pre_transpile_depth,,60,
within_topology,fully_connected,alignment,weighted_mean_topology_distance,pre_transpile_2q_count,,60,
within_topology,fully_connected,alignment,weighted_mean_topology_distance,transpiled_depth,,60,
within_topology,fully_connected,alignment,weighted_mean_topology_distance,transpiled_2q_count,,60,
within_topology,fully_connected,alignment,weighted_mean_topology_distance,swap_count,,60,
