model_name,outcome,term,coef,std_error_hc3,t_value,p_value,ci_lower,ci_upper
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,C(topology)[T.line],0.35337710323042826,0.046412769272984274,7.613790531480317,2.661720471473902e-14,0.26240974703261183,0.4443444594282447
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,z_n_edges,-0.18981484911959484,0.13312971175847393,-1.4257887785707821,0.15392932097811515,-0.4507442894384023,0.0711145911992126
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,z_density,0.013814137328902243,0.0455274371457359,0.3034244445757491,0.7615664191321704,-0.07541799978515115,0.10304627444295564
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,z_max_degree,1.3990599121726335,0.13591252038504512,10.293826559974356,7.512998558615863e-25,1.1326762671698791,1.6654435571753878
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,z_weighted_degree_mean,-0.5409542484742238,0.14383692763076028,-3.76088572930932,0.0001693127682180148,-0.8228694462774081,-0.2590390506710395
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,z_coefficient_entropy,0.41034436640991573,0.04804387268969587,8.54103433876436,1.3302567289670146e-17,0.3161801062602843,0.5045086265595471
M3_transpiled_depth_graph_alignment,log_transpiled_depth,Intercept,3.223751268102309,0.0965888879751271,33.37600562222506,3.056782062039573e-244,3.034440526364286,3.4130620098403317
M3_transpiled_depth_graph_alignment,log_transpiled_depth,C(family)[T.maxcut],0.8912528607370878,0.13807744170569297,6.454731849948095,1.0841068763138605e-10,0.6206260479165007,1.1618796735576749
M3_transpiled_depth_graph_alignment,log_transpiled_depth,C(family)[T.scheduling_toy],1.0284061607346877,0.12072871991320897,8.518322413043075,1.6188102262123216e-17,0.7917822178051745,1.2650301036642009
M3_transpiled_depth_graph_alignment,log_transpiled_depth,C(topology)[T.grid_2d],-0.057861629263123326,0.04207331165038006,-1.3752573066731877,0.1690516874326553,-0.1403238048081977,0.024600546281951047
M3_transpiled_depth_graph_alignment,log_transpiled_depth,C(topology)[T.heavy_hex_like],-0.025047432524823776,0.03465302379834327,-0.7228065484438697,0.4697987435927312,-0.09296611112498597,0.04287124607533842
M3_transpiled_depth_graph_alignment,log_transpiled_depth,C(topology)[T.line],-0.172512670188949,0.038359883401124575,-4.497215708009466,6.884912871241247e-06,-0.247696660106309,-0.097328680271589
