instance_name,family,n_variables,n_quadratic_terms,qubo_json,p,gamma,beta,pre_transpile_n_qubits,pre_transpile_depth,pre_transpile_gate_count,pre_transpile_2q_count,pre_transpile_ops_json
assignment_items16_bins2_seed303,assignment,32,16,data/instances_rq1_extended/assignment_items16_bins2_seed303.json,1,0.7,0.3,32,6,146,32,"{""barrier"": 2, ""cx"": 32, ""h"": 32, ""rx"": 32, ""rz"": 48}"
scheduling_ops4_machines2_conf0.35_seed101,scheduling_toy,8,8,data/instances_rq1_extended/scheduling_ops4_machines2_conf0.35_seed101.json,1,0.7,0.3,8,9,50,16,"{""barrier"": 2, ""cx"": 16, ""h"": 8, ""rx"": 8, ""rz"": 16}"
scheduling_ops6_machines2_conf0.35_seed101,scheduling_toy,12,12,data/instances_rq1_extended/scheduling_ops6_machines2_conf0.35_seed101.json,1,0.7,0.3,12,12,74,24,"{""barrier"": 2, ""cx"": 24, ""h"": 12, ""rx"": 12, ""rz"": 24}"
scheduling_ops8_machines2_conf0.35_seed101,scheduling_toy,16,20,data/instances_rq1_extended/scheduling_ops8_machines2_conf0.35_seed101.json,1,0.7,0.3,16,18,110,40,"{""barrier"": 2, ""cx"": 40, ""h"": 16, ""rx"": 16, ""rz"": 36}"
scheduling_ops12_machines2_conf0.35_seed101,scheduling_toy,24,48,data/instances_rq1_extended/scheduling_ops12_machines2_conf0.35_seed101.json,1,0.7,0.3,24,27,218,96,"{""barrier"": 2, ""cx"": 96, ""h"": 24, ""rx"": 24, ""rz"": 72}"
scheduling_ops16_machines2_conf0.35_seed101,scheduling_toy,32,88,data/instances_rq1_extended/scheduling_ops16_machines2_conf0.35_seed101.json,1,0.7,0.3,32,51,362,176,"{""barrier"": 2, ""cx"": 176, ""h"": 32, ""rx"": 32, ""rz"": 120}"
scheduling_ops4_machines2_conf0.35_seed202,scheduling_toy,8,8,data/instances_rq1_extended/scheduling_ops4_machines2_conf0.35_seed202.json,1,0.7,0.3,8,12,50,16,"{""barrier"": 2, ""cx"": 16, ""h"": 8, ""rx"": 8, ""rz"": 16}"
scheduling_ops6_machines2_conf0.35_seed202,scheduling_toy,12,16,data/instances_rq1_extended/scheduling_ops6_machines2_conf0.35_seed202.json,1,0.7,0.3,12,15,86,32,"{""barrier"": 2, ""cx"": 32, ""h"": 12, ""rx"": 12, ""rz"": 28}"
scheduling_ops8_machines2_conf0.35_seed202,scheduling_toy,16,26,data/instances_rq1_extended/scheduling_ops8_machines2_conf0.35_seed202.json,1,0.7,0.3,16,21,128,52,"{""barrier"": 2, ""cx"": 52, ""h"": 16, ""rx"": 16, ""rz"": 42}"
scheduling_ops12_machines2_conf0.35_seed202,scheduling_toy,24,64,data/instances_rq1_extended/scheduling_ops12_machines2_conf0.35_seed202.json,1,0.7,0.3,24,39,266,128,"{""barrier"": 2, ""cx"": 128, ""h"": 24, ""rx"": 24, ""rz"": 88}"
scheduling_ops16_machines2_conf0.35_seed202,scheduling_toy,32,104,data/instances_rq1_extended/scheduling_ops16_machines2_conf0.35_seed202.json,1,0.7,0.3,32,57,410,208,"{""barrier"": 2, ""cx"": 208, ""h"": 32, ""rx"": 32, ""rz"": 136}"
scheduling_ops4_machines2_conf0.35_seed303,scheduling_toy,8,10,data/instances_rq1_extended/scheduling_ops4_machines2_conf0.35_seed303.json,1,0.7,0.3,8,12,56,20,"{""barrier"": 2, ""cx"": 20, ""h"": 8, ""rx"": 8, ""rz"": 18}"
scheduling_ops6_machines2_conf0.35_seed303,scheduling_toy,12,22,data/instances_rq1_extended/scheduling_ops6_machines2_conf0.35_seed303.json,1,0.7,0.3,12,24,104,44,"{""barrier"": 2, ""cx"": 44, ""h"": 12, ""rx"": 12, ""rz"": 34}"
scheduling_ops8_machines2_conf0.35_seed303,scheduling_toy,16,32,data/instances_rq1_extended/scheduling_ops8_machines2_conf0.35_seed303.json,1,0.7,0.3,16,30,146,64,"{""barrier"": 2, ""cx"": 64, ""h"": 16, ""rx"": 16, ""rz"": 48}"
scheduling_ops12_machines2_conf0.35_seed303,scheduling_toy,24,60,data/instances_rq1_extended/scheduling_ops12_machines2_conf0.35_seed303.json,1,0.7,0.3,24,39,254,120,"{""barrier"": 2, ""cx"": 120, ""h"": 24, ""rx"": 24, ""rz"": 84}"
scheduling_ops16_machines2_conf0.35_seed303,scheduling_toy,32,96,data/instances_rq1_extended/scheduling_ops16_machines2_conf0.35_seed303.json,1,0.7,0.3,32,57,386,192,"{""barrier"": 2, ""cx"": 192, ""h"": 32, ""rx"": 32, ""rz"": 128}"
