index,family,strategy_name,n_rows,mean_depth,mean_2q,mean_swap,mean_depth_overhead,mean_twoq_overhead,mean_delta_depth_vs_natural_fixed,mean_delta_2q_vs_natural_fixed,mean_delta_swap_vs_natural_fixed,mean_pct_depth_vs_natural_fixed,mean_pct_2q_vs_natural_fixed,mean_pct_swap_vs_natural_fixed,mean_delta_depth_vs_standard_qiskit,mean_delta_2q_vs_standard_qiskit,mean_delta_swap_vs_standard_qiskit,mean_transpilation_time_sec
10,maxcut,degree_desc_fixed,90,183.6888888888889,372.85555555555555,193.05555555555554,2.305578103987033,1.8576569527941102,27.2,53.77777777777778,53.77777777777778,9.571736693403338,8.651674576060135,20.91832023113975,37.8,69.02222222222223,69.02222222222223,0.0023239962666087946
11,maxcut,natural_fixed,90,156.48888888888888,319.0777777777778,139.27777777777777,2.106221190508844,1.6934321199538334,0.0,0.0,0.0,0.0,0.0,0.0,10.6,15.244444444444444,15.244444444444444,0.0022998231954665166
12,maxcut,random_fixed,90,183.85555555555555,375.3333333333333,195.53333333333333,2.34522570211507,1.8978870690120326,27.366666666666667,56.25555555555555,56.25555555555555,11.434499579996727,10.941937708419744,27.381497338728828,37.96666666666667,71.5,71.5,0.00233145408823874
13,maxcut,standard_qiskit,90,145.88888888888889,303.8333333333333,124.03333333333333,1.904299945617223,1.5340334892560483,-10.6,-15.244444444444444,-15.244444444444444,-9.329722531381892,-9.210578794313593,-26.21637038670068,0.0,0.0,0.0,0.0030392523648009855
14,maxcut,weighted_degree_desc_centrality_layout,90,179.03333333333333,372.4888888888889,192.6888888888889,2.273139222293093,1.8503479017811943,22.544444444444444,53.41111111111111,53.41111111111111,7.623357816636255,7.990750078325556,18.110385646378095,33.144444444444446,68.65555555555555,68.65555555555555,0.0023245897545064844
15,maxcut,weighted_degree_desc_fixed,90,176.05555555555554,375.6333333333333,195.83333333333334,2.2542632148641735,1.8589370514152976,19.566666666666666,56.55555555555556,56.55555555555556,7.271120136915662,8.276541581698748,18.051814000375632,30.166666666666668,71.8,71.8,0.0023220013451968934
16,scheduling_toy,bfs_topology_aware,45,90.84444444444445,191.86666666666667,110.0,3.0179485730414526,1.9524293414918414,18.644444444444446,32.51111111111111,32.51111111111111,26.91242965486449,13.617731476458129,44.510763799092494,26.288888888888888,50.4,50.4,0.0020961695790497332
17,scheduling_toy,degree_desc_centrality_layout,45,86.64444444444445,188.88888888888889,107.02222222222223,2.9597777164547034,1.9847779882154883,14.444444444444445,29.533333333333335,29.533333333333335,25.913865656714556,16.632470298777783,57.310961923296375,22.08888888888889,47.422222222222224,47.422222222222224,0.002103775910412213
18,scheduling_toy,degree_desc_fixed,45,73.26666666666667,165.0,83.13333333333334,2.3523264721493136,1.6673303548303549,1.0666666666666667,5.644444444444445,5.644444444444445,-1.2918108647130835,-2.1709019536615863,-9.117571274526194,8.71111111111111,23.533333333333335,23.533333333333335,0.002056643506512009
19,scheduling_toy,natural_fixed,45,72.2,159.35555555555555,77.4888888888889,2.397255732202413,1.6924977337477338,0.0,0.0,0.0,0.0,0.0,0.0,7.644444444444445,17.88888888888889,17.88888888888889,0.0020807287526419913
20,scheduling_toy,random_fixed,45,89.53333333333333,198.88888888888889,117.02222222222223,2.986942030373403,2.0725690397565395,17.333333333333332,39.53333333333333,39.53333333333333,26.151681735439954,21.112661855731723,72.66101767671823,24.977777777777778,57.422222222222224,57.422222222222224,0.002121302777797758
21,scheduling_toy,standard_qiskit,45,64.55555555555556,141.46666666666667,59.6,2.083901479020158,1.4534959369334368,-7.644444444444445,-17.88888888888889,-17.88888888888889,-11.32439970351991,-13.087428950974456,-38.52661319325425,0.0,0.0,0.0,0.002586479666125391
22,scheduling_toy,weighted_degree_desc_centrality_layout,45,86.64444444444445,188.88888888888889,107.02222222222223,2.9597777164547034,1.9847779882154883,14.444444444444445,29.533333333333335,29.533333333333335,25.913865656714556,16.632470298777783,57.310961923296375,22.08888888888889,47.422222222222224,47.422222222222224,0.0021168695219481487
23,scheduling_toy,weighted_degree_desc_fixed,45,73.26666666666667,165.0,83.13333333333334,2.3523264721493136,1.6673303548303549,1.0666666666666667,5.644444444444445,5.644444444444445,-1.2918108647130835,-2.1709019536615863,-9.117571274526194,8.71111111111111,23.533333333333335,23.533333333333335,0.002068878679225789
